Spp,Length,Weight,Sex,Year,Month,Age,BCAge,BCLength
CCF,444,696,U,2016,September,,,
CCF,415,558,U,2016,September,,,
CCF,422,592,U,2016,September,,,
CCF,267,132,U,2016,September,,,
CCF,507,1092,U,2016,September,,,
CCF,442,698,U,2016,September,,,
CCF,536,1324,U,2016,September,,,
CCF,322,250,U,2016,September,,,
CCF,481,938,U,2016,September,,,
CCF,406,542,U,2016,September,,,
CCF,511,1160,U,2016,September,,,
CCF,417,596,U,2016,September,,,
CCF,230,84,U,2016,September,,,
CCF,471,892,U,2016,September,,,
CCF,499,1082,U,2016,September,,,
CCF,393,498,U,2016,September,,,
CCF,515,1218,U,2016,September,,,
CCF,463,858,U,2016,September,,,
CCF,386,476,U,2016,September,,,
CCF,231,88,U,2016,September,,,
CCF,255,122,U,2016,September,,,
CCF,226,82,U,2016,September,,,
CCF,433,704,U,2016,September,,,
CCF,205,60,U,2016,September,,,
CCF,211,66,U,2016,September,,,
CCF,486,1036,U,2016,September,,,
CCF,381,470,U,2016,September,,,
CCF,514,1264,U,2016,September,,,
CCF,456,856,U,2016,September,,,
CCF,275,163,U,2016,September,,,
CCF,286,186,U,2016,September,,,
CCF,424,696,U,2016,September,,,
CCF,216,84,U,2016,September,,,
CCF,206,72,U,2016,September,,,
CCF,348,406,U,2016,September,,,
CCF,227,100,U,2016,September,,,
CCF,223,106,U,2016,September,,,
CCF,197,80,U,2016,September,,,
